account_id,company,country,city,industry,employees,revenue_band,tech_signals,priority_tier
ACC-001,Brauwald Maschinenbau GmbH,DE,Stuttgart,Manufacturing,1400,€250M-500M,"uses SkillForge; hiring 8 L&D roles; recent reorg into 4 divisions",A
ACC-002,Hanseatic Assekuranz AG,DE,Hamburg,Insurance,1800,€500M-1B,"legacy LMS end-of-life 2026; new CHRO started Q1; compliance training mandate",A
ACC-003,Alpspitz Logistik AG,DE,Munich,Logistics,950,€100M-250M,"no LMS; 3 acquisitions in 18 months; posting for Head of Talent Development",A
ACC-004,Nordlicht Retail Group SE,DE,Cologne,Retail,2000,€1B+,"uses Cognita for content only; frontline upskilling initiative announced",A
ACC-005,Vitalpharm Deutschland GmbH,DE,Frankfurt,Pharma,1200,€250M-500M,"GxP compliance pressure; hiring 5 L&D roles; digital transformation program",A
ACC-006,Federweg Engineering GmbH,DE,Dortmund,Engineering,600,€100M-250M,"uses Traida HR suite; skills-gap post by VP People on LinkedIn",B
ACC-007,Rheinstahl Komponenten AG,DE,Essen,Manufacturing,1600,€500M-1B,"apprenticeship program expansion; Works Council digitalisation talks",B
ACC-008,Sonnfeld Energie GmbH,DE,Leipzig,Energy,750,€100M-250M,"new People Ops Lead hired; wind division growing 40%",B
ACC-009,Kranich Möbelwerke GmbH,DE,Bielefeld,Manufacturing,480,€50M-100M,"no formal L&D function; Series-B-style growth; hiring spree",C
ACC-010,Silberbach Finanz AG,DE,Düsseldorf,Financial Services,1100,€250M-500M,"BaFin compliance audit findings; uses SkillForge legacy",B
ACC-011,Auerhaus Möbel & Living GmbH,DE,Nuremberg,Retail,820,€100M-250M,"seasonal workforce; onboarding backlog; new VP HR from enterprise",B
ACC-012,Talwind Aerospace GmbH,DE,Bremen,Aerospace,1350,€250M-500M,"safety certification training; ITAR data-residency concerns",A
ACC-013,Eschenbach Chemie AG,DE,Ludwigshafen,Chemicals,1900,€500M-1B,"REACH compliance training; reorg; L&D Director role open 60+ days",A
ACC-014,Waldperle Naturkosmetik GmbH,DE,Freiburg,Consumer Goods,320,€50M-100M,"B-Corp; scaling fast; no LMS; engagement-first culture",C
ACC-015,Meridian Software Solutions GmbH,DE,Karlsruhe,Technology,540,€50M-100M,"uses Bloomwork; low adoption complaints; RevOps hire",B
ACC-016,Steinadler Bau AG,DE,Hannover,Construction,880,€100M-250M,"site-safety training mandate; distributed workforce; no mobile learning",B
ACC-017,Blumberg Medizintechnik GmbH,DE,Tuttlingen,MedTech,690,€100M-250M,"MDR compliance; hiring L&D Manager; export-heavy",B
ACC-018,Frostmann Kältetechnik GmbH,DE,Kassel,Manufacturing,410,€50M-100M,"family-owned modernising; new external CHRO",C
ACC-019,Lindenhof Versicherung AG,DE,Stuttgart,Insurance,1450,€250M-500M,"agent-network training; uses SkillForge; NPS-driven L&D KPIs",A
ACC-020,Habichtsberg Präzision GmbH,DE,Chemnitz,Engineering,720,€100M-250M,"Industry 4.0 upskilling grant; hiring 4 L&D roles",B
ACC-021,Sturmvogel Reederei GmbH,DE,Kiel,Logistics,560,€100M-250M,"maritime certification tracking; fleet expansion",C
ACC-022,Goldregen Handelsgruppe SE,DE,Berlin,Retail,1700,€500M-1B,"omnichannel reskilling; new Chief People Officer; uses Cognita",A
ACC-023,Wieselburg Getränke GmbH,AT,Vienna,Food & Beverage,640,€100M-250M,"HACCP compliance; DACH-wide rollout; no unified LMS",B
